Year,Avearage Temperature
1960,18.80928875
1961,18.84569067
1962,18.61691804
1963,18.59839506
1964,18.50480864
1965,18.44133676
1966,18.78864849
1967,18.55750309
1968,18.52925171
1969,18.69427675
1970,18.71677915
1971,18.51171193
1972,18.58879835
1973,18.79562551
1974,18.55477469
1975,18.66951509
1976,18.4061382
1977,18.84439129
1978,18.65244102
1979,18.83172702
1980,18.7757356
1981,18.83829218
1982,18.77458779
1983,19.01546776
1984,18.68773868
1985,18.6221797
1986,18.72378086
1987,18.9726454
1988,19.03302984
1989,18.97834396
1990,19.23818964
1991,18.9331238
1992,18.89393313
1993,18.85289506
1994,19.17247668
1995,19.18778121
1996,18.88035665
1997,19.17113134
1998,19.51613786
1999,19.31229664
2000,19.26957579
2001,19.34536385
2002,19.48500686
2003,19.44473663
2004,19.34216564
2005,19.41934499
2006,19.45872702
2007,19.52969307
2008,19.34402778
2009,19.46594753
2010,19.54902503
2011,19.37597428
2012,19.38862586
